
Host: hartree

Timers On : Mon Dec 23 12:35:42 2013
Timers Off: Mon Dec 23 12:41:32 2013

Wall Time:      350.00 seconds

V: Grid     :       5.67u       0.03s       6.00w      1 call
JK: (A|mn)  :       4.14u       0.00s       4.00w      1 call
JK: (A|Q)^-1/2:      14.40u       0.01s      15.00w      1 call
JK: (Q|mn)  :      22.74u       0.00s      23.00w      1 call
Form H      :       0.00u       0.00s       0.00w      1 call
Form S/X    :       0.01u       0.01s       0.00w      1 call
Guess       :       0.31u       0.00s       0.00w      1 call
Form G      :     294.03u       0.71s     301.00w     12 calls
Form V      :     241.28u       0.22s     247.00w     12 calls
V: D        :       0.02u       0.00s       0.00w     12 calls
V: USO2AO   :       0.00u       0.00s       0.00w     12 calls
V: V        :     241.26u       0.22s     247.00w     12 calls
Properties  :     125.28u       0.06s     126.00w   8784 calls
Points      :      65.18u       0.05s      59.00w   8784 calls
Functional  :      41.29u       0.04s      49.00w   8784 calls
V_XC        :      74.68u       0.12s      72.00w   8784 calls
LSDA        :      69.86u       0.11s      71.00w  17568 calls
GGA         :       4.39u       0.01s       1.00w   8784 calls
V: AO2USO   :       0.00u       0.00s       0.00w     12 calls
JK: D       :       0.03u       0.00s       0.00w     12 calls
JK: USO2AO  :       0.00u       0.00s       0.00w     12 calls
JK: JK      :      52.72u       0.49s      54.00w     12 calls
JK: J       :       0.46u       0.00s       0.00w     13 calls
JK: J1      :       0.22u       0.00s       0.00w     13 calls
JK: J2      :       0.24u       0.00s       0.00w     13 calls
JK: K       :      51.92u       0.01s      53.00w     13 calls
JK: K1      :      27.35u       0.00s      27.00w     13 calls
JK: K2      :      24.57u       0.01s      26.00w     13 calls
JK: AO2USO  :       0.00u       0.00s       0.00w     12 calls
Form F      :       0.00u       0.00s       0.00w     12 calls
DIIS        :       0.12u       0.01s       0.00w     12 calls
Form C      :       0.32u       0.00s       0.00w     12 calls
Form D      :       0.01u       0.00s       0.00w     12 calls
DIISManager::add_entry:       0.00u       0.00s       0.00w     11 calls
DIISManager::extrapolate:       0.01u       0.00s       0.00w     10 calls
DIISManager::extrapolate: bMatrix setup:       0.00u       0.00s       0.00w     10 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s       0.00w     10 calls
DIISManager::extrapolate: form new data:       0.01u       0.00s       0.00w     10 calls

***********************************************************

Host: hartree

Timers On : Mon Dec 23 12:42:52 2013
Timers Off: Mon Dec 23 12:51:02 2013

Wall Time:      490.00 seconds

V: Grid     :       5.68u       0.04s       6.00w      1 call
JK: (A|mn)  :       4.21u       0.00s       5.00w      1 call
JK: (A|Q)^-1/2:      15.49u       0.03s      16.00w      1 call
JK: (Q|mn)  :      25.88u       0.02s      27.00w      1 call
Form H      :       0.00u       0.00s       0.00w      1 call
Form S/X    :       0.02u       0.01s       0.00w      1 call
Guess       :       0.31u       0.00s       0.00w      1 call
Form G      :     425.78u       1.81s     436.00w     14 calls
Form V      :     265.33u       1.04s     271.00w     14 calls
V: D        :       0.02u       0.00s       0.00w     14 calls
V: USO2AO   :       0.00u       0.00s       0.00w     14 calls
V: V        :     265.30u       1.04s     271.00w     14 calls
Properties  :     142.17u       0.59s     155.00w  10248 calls
Points      :      72.06u       0.31s      76.00w  10248 calls
Functional  :      48.80u       0.21s      40.00w  10248 calls
V_XC        :      74.20u       0.24s      76.00w  10248 calls
LSDA        :      68.44u       0.24s      69.00w  20496 calls
GGA         :       5.04u       0.00s       7.00w  10248 calls
V: AO2USO   :       0.00u       0.00s       0.00w     14 calls
JK: D       :       0.01u       0.00s       0.00w     14 calls
JK: USO2AO  :       0.00u       0.00s       0.00w     14 calls
JK: JK      :     160.44u       0.77s     165.00w     14 calls
JK: J       :       0.41u       0.00s       0.00w     13 calls
JK: J1      :       0.19u       0.00s       0.00w     13 calls
JK: J2      :       0.22u       0.00s       0.00w     13 calls
JK: K       :      48.75u       0.16s      50.00w     13 calls
JK: K1      :      23.58u       0.07s      24.00w     13 calls
JK: K2      :      25.17u       0.09s      26.00w     13 calls
JK: AO2USO  :       0.00u       0.00s       0.00w     14 calls
Form F      :       0.00u       0.00s       0.00w     14 calls
DIIS        :       0.13u       0.00s       0.00w     14 calls
Form C      :       0.32u       0.01s       0.00w     14 calls
Form D      :       0.03u       0.00s       0.00w     14 calls
DIISManager::add_entry:       0.01u       0.00s       0.00w     13 calls
DIISManager::extrapolate:       0.00u       0.00s       0.00w     12 calls
DIISManager::extrapolate: bMatrix setup:       0.00u       0.00s       0.00w     12 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s       0.00w     12 calls
DIISManager::extrapolate: form new data:       0.00u       0.00s       0.00w     12 calls

***********************************************************

Host: hartree

Timers On : Mon Dec 23 18:12:41 2013
Timers Off: Mon Dec 23 18:19:55 2013

Wall Time:      434.00 seconds

V: Grid     :       5.67u       0.03s       6.00w      1 call
Form H      :       0.00u       0.00s       0.00w      1 call
Form S/X    :       0.02u       0.01s       0.00w      1 call
Guess       :       0.31u       0.00s       0.00w      1 call
Form G      :     270.02u       2.99s     278.00w     12 calls
Form V      :     227.39u       0.22s     232.00w     12 calls
V: D        :       0.00u       0.00s       0.00w     12 calls
V: USO2AO   :       0.00u       0.00s       0.00w     12 calls
V: V        :     227.39u       0.22s     232.00w     12 calls
Properties  :     122.76u       0.11s     125.00w   8784 calls
Points      :      64.22u       0.08s      71.00w   8784 calls
Functional  :      42.03u       0.03s      41.00w   8784 calls
V_XC        :      62.55u       0.08s      65.00w   8784 calls
LSDA        :      57.92u       0.07s      61.00w  17568 calls
GGA         :       4.22u       0.00s       4.00w   8784 calls
V: AO2USO   :       0.00u       0.00s       0.00w     12 calls
